Timestamp,Hashmap,Compiler,SystemHostname,PageSize,HugePageSize,DataPointer,IsAlignedToHPSize,LoadFactor,SQR,Size,Distribution,Workload,KeySize,ValueSize,EntrySize,EntriesProcessed,Runtime,Successful
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; LSBLSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6934
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6577
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6571
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6587
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6596
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6562
1668661078045,FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint8_t; NoPref; THP; NoUnroll; vector unsigned char; TESTZ; NoAVX512; N10SIMDHelperIhLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,ic922-02,65536,2097152,0x7fff9fa00000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6596
1668661078045,BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint16_t; NoPref; THP; NoUnroll; vector unsigned short; TESTZ; NoAVX512; N10SIMDHelperItLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 8FPPB; MSBLSB; NoFallback>,gcc,ic922-02,65536,2097152,0x7ffdc7800000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6983
1668661078045,BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint16_t; NoPref; THP; NoUnroll; vector unsigned short; TESTZ; NoAVX512; N10SIMDHelperItLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 8FPPB; MSBLSB; NoFallback>,gcc,ic922-02,65536,2097152,0x7ffdc7800000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6977
1668661078045,BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; uint64_t; uint16_t; NoPref; THP; NoUnroll; vector unsigned short; TESTZ; NoAVX512; N10SIMDHelperItLt128EL13SIMDAlgorithm0ELb0ELb1ELb0EL8NEONAlgo2ELb0EE13CompareResultE; NoSVE; UMINV; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 8FPPB; MSBLSB; NoFallback>,gcc,ic922-02,65536,2097152,0x7ffdc7800000,true,25,100,134217728,Uniform,1024,8,8,0,134217728,6980
